07/30/2024-08:08:49.431659  [**] [1:2067085:1] ET INFO NTLM Session Setup Request - Negotiate [**] [Classification: Misc activity] [Priority: 3] {TCP} 172.16.1.66:49692 -> 172.16.1.4:445
07/30/2024-08:08:49.432016  [**] [1:2067086:1] ET INFO NTLMv1 Session Setup Response - Challenge [**] [Classification: Misc activity] [Priority: 3] {TCP} 172.16.1.4:445 -> 172.16.1.66:49692
07/30/2024-08:08:49.433463  [**] [1:2067087:1] ET INFO NTLM Session Setup Request - Auth [**] [Classification: Misc activity] [Priority: 3] {TCP} 172.16.1.66:49692 -> 172.16.1.4:445
07/30/2024-08:08:49.686160  [**] [1:2031071:5] ET INFO Microsoft Connection Test [**] [Classification: Misc activity] [Priority: 3] {TCP} 172.16.1.66:49697 -> 23.215.55.140:80
07/30/2024-08:10:06.151742  [**] [1:2400027:4806] ET DROP Spamhaus DROP Listed Traffic Inbound group 28 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 141.98.10.79:12132 -> 172.16.1.66:49754
07/30/2024-08:10:06.835504  [**] [1:2054141:1] ET INFO External IP Lookup Domain in DNS Lookup (ip-api .com) [**] [Classification: Device Retrieving External IP Address Detected] [Priority: 2] {UDP} 172.16.1.66:51396 -> 172.16.1.4:53
07/30/2024-08:10:07.011358  [**] [1:2022082:6] ET INFO External IP Lookup ip-api.com [**] [Classification: Device Retrieving External IP Address Detected] [Priority: 2] {TCP} 172.16.1.66:49755 -> 208.95.112.1:80
07/30/2024-08:10:07.027145  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:10:13.639146  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:11:10.496127  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.1.66:49788 -> 172.16.1.4:139
07/30/2024-08:10:18.639963  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
