---------------------------------------------------------------------------------------------------
Date: 8/22/2026 -- 19:18:59 (uptime: 0d, 00h 00m 46s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 11562
decoder.bytes                                                | Total                     | 11341372
decoder.ipv4                                                 | Total                     | 11531
decoder.ethernet                                             | Total                     | 11562
decoder.arp                                                  | Total                     | 31
decoder.tcp                                                  | Total                     | 11276
tcp.syn                                                      | Total                     | 149
tcp.synack                                                   | Total                     | 144
tcp.rst                                                      | Total                     | 114
decoder.udp                                                  | Total                     | 243
decoder.icmpv4                                               | Total                     | 3
decoder.avg_pkt_size                                         | Total                     | 980
decoder.max_pkt_size                                         | Total                     | 1514
flow.total                                                   | Total                     | 199
flow.tcp                                                     | Total                     | 148
flow.udp                                                     | Total                     | 51
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv4.opt_pad_required                          | Total                     | 9
flow.wrk.flows_evicted_needs_work                            | Total                     | 92
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 107
flow.wrk.flows_evicted                                       | Total                     | 7
flow.wrk.flows_injected                                      | Total                     | 92
tcp.sessions                                                 | Total                     | 145
tcp.ssn_from_pool                                            | Total                     | 145
tcp.segment_from_cache                                       | Total                     | 307
tcp.segment_from_pool                                        | Total                     | 4767
tcp.stream_depth_reached                                     | Total                     | 3
tcp.overlap                                                  | Total                     | 6
detect.alert                                                 | Total                     | 114
detect.alerts_suppressed                                     | Total                     | 14
app_layer.flow.http                                          | Total                     | 2
app_layer.tx.http                                            | Total                     | 2
app_layer.flow.tls                                           | Total                     | 65
app_layer.flow.smb                                           | Total                     | 8
app_layer.tx.smb                                             | Total                     | 130
app_layer.flow.dcerpc_tcp                                    | Total                     | 16
app_layer.tx.dcerpc_tcp                                      | Total                     | 78
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.krb5_tcp                                      | Total                     | 28
app_layer.tx.krb5_tcp                                        | Total                     | 56
app_layer.flow.ldap_tcp                                      | Total                     | 23
app_layer.tx.ldap_tcp                                        | Total                     | 34
app_layer.error.ldap_tcp.parser                              | Total                     | 23
app_layer.flow.mdns                                          | Total                     | 1
app_layer.flow.failed_udp                                    | Total                     | 12
app_layer.flow.dns_udp                                       | Total                     | 29
app_layer.tx.dns_udp                                         | Total                     | 171
app_layer.tx.ntp                                             | Total                     | 2
app_layer.flow.ldap_udp                                      | Total                     | 8
app_layer.tx.ldap_udp                                        | Total                     | 12
app_layer.tx.mdns                                            | Total                     | 2
flow.end.state.new                                           | Total                     | 16
flow.end.state.established                                   | Total                     | 49
flow.end.state.closed                                        | Total                     | 134
flow.end.tcp_state.established                               | Total                     | 4
flow.end.tcp_state.fin_wait2                                 | Total                     | 7
flow.end.tcp_state.closed                                    | Total                     | 134
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 100
flow.recycler.queue_max                                      | Total                     | 75
tcp.memuse                                                   | Total                     | 2490368
tcp.reassembly_memuse                                        | Total                     | 458752
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
